slug,name,industry,subtype,parent,batch,folder,table_count,row_count,tables
"abide-boutique","","","","","1","batch-01","22","163","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_photos entity_reviews entity_sources entity_tags entity_theme industry_retail legacy_photo_migration_queue search_index v_industry_facts_slugs"
"about-1-mile-to-tanger-outlet-mall-and-about-7-miles-to-gulf-shores-beaches","","","","","1","batch-01","18","31","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full bookable_resources bookable_resources_json_backup entity_address_areas entity_completeness_v entity_google_maps_links entity_items_norm_v entity_items_v entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_tags entity_theme industry_hotel search_index v_industry_facts_slugs"
"about-to-sweat","","","","","1","batch-01","1","1","artist_profiles"
"above-and-beyond-yoga-and-salt-therapy-mupQ7U","","","","","1","batch-01","25","250","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full bookable_resources bookable_resources_json_backup entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_items_norm_v entity_items_v entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_photos entity_reviews entity_tags entity_theme industry_fitness_sports search_index v_industry_facts_slugs"
"academy-sports-outdoors-y9_qi4","","","","","1","batch-01","22","176","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_photos entity_reviews entity_secondary_hours entity_sources entity_tags entity_theme industry_retail search_index v_industry_facts_slugs"
"ace-mobile-detailing","","","","","1","batch-01","22","94","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full bookable_resources bookable_resources_json_backup entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_items_norm_v entity_items_v entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_photos entity_reviews entity_tags entity_theme search_index"
"ace-s-better-bodies","","","","","1","batch-01","19","113","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_photos entity_reviews entity_tags entity_theme industry_fitness_sports search_index v_industry_facts_slugs"
"acme-oyster-house","","","","","1","batch-01","26","462","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_offer_section entity_photos entity_reviews entity_sources entity_tags entity_theme industry_food_beverage legacy_photo_migration_queue recovery_import_log search_index tourist_seen tourist_swipe_events v_industry_facts_slugs"
"acme-oyster-house-2","","","","","1","batch-01","5","5","entity_completeness_v entity_conflicts industry_food_beverage search_index v_industry_facts_slugs"
"acoustical-soul","","","","","1","batch-01","1","1","artist_profiles"
"action-charter-service","","","","","1","batch-01","32","189","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full entity_address_areas entity_amenities entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_items_norm_v entity_items_v entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_photos entity_policies entity_reviews entity_sources entity_tags entity_theme industry_charter_fishing legacy_photo_migration_queue offering_prices offerings offerings_details_backup pricing_items search_index v_industry_facts_slugs whats_included"
"action-game-and-movie","","","","","1","batch-01","18","92","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_photos entity_reviews entity_tags entity_theme search_index"
"addicted-2-fishing-charters","","","","","1","batch-01","12","23","entity_amenities entity_completeness_v entity_items_norm_v entity_items_v entity_offer entity_sources entity_tags entity_theme industry_charter_fishing offerings search_index v_industry_facts_slugs"
"admiral-quarters-1006","","","","","1","batch-01","20","91","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_photos entity_reviews entity_tags entity_theme industry_hotel legacy_photo_migration_queue search_index v_industry_facts_slugs"
"admiral-s-quarters","","","","","1","batch-01","9","70","entity_amenities entity_completeness_v entity_photos entity_sources entity_tags entity_theme industry_condo search_index v_industry_facts_slugs"
"admiral-shellfish-company","","","","","1","batch-01","5","5","entity_completeness_v entity_sources entity_tags entity_theme search_index"
"admirals-quarters-condominiums","","","","","1","batch-01","30","167","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full bookable_resources bookable_resources_json_backup entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_items_norm_v entity_items_v entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_photos entity_reviews entity_section_items entity_section_items_metadata_backup entity_sections entity_tags entity_theme industry_condo legacy_photo_migration_queue rental_units search_index v_industry_facts_slugs"
"adonnas-garden-st-cafe-and-bakery-PEGlT0","","","","","1","batch-01","20","288","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_photos entity_reviews entity_tags entity_theme industry_cafe_dessert search_index v_industry_facts_slugs"
